name,careers_url,specialty
VOLANSYS,https://www.volansys.com/careers,IoT Embedded Systems
Embrill,https://embrill.com/careers,IoT Embedded Automotive
IOTTIVE,https://iottive.com/careers,IoT Applications
CoreFragment Technologies,https://corefragment.com/careers,IoT Embedded AI
Prompt Softech,https://promptsoftech.com/careers,IoT Embedded Systems
Infilon Technologies,https://www.infilon.com/careers,IoT Development
Megabyte Circuit Systems,https://megabytecircuit.com/careers,PCB Manufacturing
Varologic,https://varologic.com/careers,Embedded Systems
Ascenten Technologies,https://ascenten.com/careers,Embedded Solutions
Glide Embedded Solutions,https://glideembedded.com/careers,Embedded Development
TVADARTHAM Technologies,https://tvadartham.com/careers,IoT Embedded
Enercomp Solutions,https://enercomp.in/careers,Electronics IoT
ShoutnHike,https://www.shoutnhike.com/careers,Digital Marketing SEO
Flora Fountain,https://florafountain.com/careers,Digital Marketing Agency
IndyLogix Solutions,https://indylogix.com/careers,Digital Marketing IT
Urteqi,https://www.urteqi.com/careers,Digital Marketing IT
Analytics Liv Digital,https://analyticsliv.com/careers,Digital Analytics
Skynet Technologies,https://skynetindia.info/careers,Web Development SEO
Continuum Digital,https://continuumdigital.com/careers,Digital Marketing
Cinntra,https://www.cinntra.com/careers,SAP ERP Implementation
VC ERP Consulting,https://www.vc-erp.com/careers,SAP Gold Partner
Silver Touch Technologies,https://www.silvertouch.com/career,SAP Business One
Ikyam Solutions,https://ikyam.com/careers,SAP Implementation
Uneecops,https://www.uneecops.com/careers,SAP Business One
SoftCore Solutions,https://softcoresolutions.com/careers,SAP ERP Solutions
Techscope Technologies,https://techscope.co.in/careers,SAP Business Solutions
Infynno Solutions,https://infynno.com/careers,AWS DevOps
Moon Technolabs,https://www.moontechnolabs.com/careers,Mobile App Development
Protocolzone,https://protocolzone.in/careers,Software Development
WebOccult Technologies,https://weboccult.com/careers,Web Development
KERNSHELL Technologies,https://kernshell.com/careers,Cloud Solutions
Quicko,https://quicko.com/careers,FinTech Tax
SmartTask,https://www.smarttask.io/careers,Project Management SaaS
WotNot,https://wotnot.io/careers,AI Chatbots
Excellent Webworld,https://www.excellentwebworld.com/career,AI Custom Software
AllianceTek,https://www.alliancetek.com/careers,IT Consulting
OneClick IT Consultancy,https://www.oneclick.biz/careers,IT Solutions
CloudStakes Technology,https://cloudstakes.com/careers,Microsoft Cloud
Tuvoc Technologies,https://www.tuvoc.com/careers,IT Services
Digihify,https://digihify.com/careers,Digital Marketing SEO
eSparkBiz Technologies,https://www.esparkbiz.com/career,Software Development
Trading Technologies,https://www.tradingtechnologies.com/careers,FinTech Trading
Dhyey Consulting,https://www.dhyey.com/careers,Odoo ERP CRM
Techno Weigh Systems,https://technowsys.com/careers,Industrial IoT
Lucy Electric,https://www.lucygroup.com/careers,Power Electronics
Invixium,https://www.invixium.com/careers,Biometrics Security
Hidden Brains,https://www.hiddenbrains.com/career,Enterprise Software
Crest Infosystems,https://www.crestinfosystems.com/careers,Software Development
SquareOps,https://squareops.com/careers,DevOps Cloud
e-Zest Solutions,https://www.e-zest.com/careers,DevOps AWS Azure
Blazeclan,https://www.blazeclan.com/careers,AWS Cloud Partner
ValueCoders,https://www.valuecoders.com/careers,Offshore Development
MindInventory,https://www.mindinventory.com/careers/,AI ML DevOps
Simform,https://simformsolutions.freshteam.com/jobs,Cloud DevOps Product
eInfochips,https://www.einfochips.com/india-hiring/,Embedded AI IoT
